USPS	GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                  
AL	01073011209	3221	1431	4209298	0	       1.625	       0.000	 33.6552379	 -86.6996956                                                                                                                   
AL	01073011210	3820	1628	9003636	0	       3.476	       0.000	 33.6689296	 -86.7041528                                                                                                                   
AL	01073011301	3621	1507	62640654	60288	      24.186	       0.023	 33.7654904	 -86.7187314                                                                                                              
AL	01073011302	6267	2463	51324200	28998	      19.816	       0.011	 33.7827665	 -86.7861825                                                                                                              
AL	01073011400	6581	2795	113274645	240398	      43.736	       0.093	 33.8253690	 -86.8815148                                                                                                            
AL	01073011500	5902	2398	92166828	965304	      35.586	       0.373	 33.7270280	 -86.9970495                                                                                                             
AL	01073011600	4027	1635	105697236	497054	      40.810	       0.192	 33.6829200	 -86.9142525                                                                                                            
AL	01073011703	9111	4144	30526587	20405	      11.786	       0.008	 33.6478630	 -86.8373942                                                                                                              
AL	01073011704	3984	1566	66989451	162463	      25.865	       0.063	 33.7226103	 -86.8484712                                                                                                             
AL	01073011705	7695	3177	40158582	0	      15.505	       0.000	 33.6758366	 -86.7966586                                                                                                                  
AL	01073011706	2394	989	61985234	25907	      23.933	       0.010	 33.6982923	 -86.7506141                                                                                                               
AL	01073011802	7512	3248	5861187	1412	       2.263	       0.001	 33.6423842	 -86.6690445                                                                                                                
AL	01073011803	4802	2051	3942634	0	       1.522	       0.000	 33.6290943	 -86.6950595                                                                                                                   
